date,group,requested_ticker,requested_label,ticker,name,uid,figi,history_id_used,history_id_type,daily_last_price
2020-12-28,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3258.95
2020-12-29,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3274.67
2020-12-30,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3289.02
2021-01-04,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3350.51
2021-01-05,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3359.15
2021-01-06,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3371.03
2021-01-08,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3454.82
2021-01-11,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3482.48
2021-01-12,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3471.65
2021-01-13,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3470.26
2021-01-14,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3490.85
2021-01-15,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3450.95
2021-01-18,equities,IMOEX,MOEX Russia Index,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,4821c9aa-36e8-4743-b37c-861e58581b25,uid,3471.92
